Vehicle_Line,Derivative,Trim,Model_Year,Total_Price_GBP,Interior_Colour,Exterior_Colour,Feature_Codes
Range Rover Sport,P400,Dynamic HSE,2022.5,121240,Ivory,Carpathian Grey,"['CL001', 'LT001', 'IT002', 'WS003', 'IT009', 'CL011', 'CL012', 'CV004', 'EP001', 'DA007', 'RF003']"
Discovery Sport,P250,HSE Luxury,2025,69604,Acorn,Byron Blue,"['LT003', 'SF020', 'SF018', 'EP003', 'DA003', 'DA005', 'WS003', 'CL003', 'DA002', 'DA006']"
Defender,P635 Octa,S,2024,99744,Flame Red,Gondwana Stone,"['SF003', 'CV001', 'WS011', 'SF009', 'IT009']"
Discovery,P360,S,2023.5,57117,Cloud,Ostuni Pearl White,"['DA005', 'SF003', 'SF009', 'SF001', 'IT001', 'SF006']"
Discovery,P360,HSE,2021,87461,Eclipse,Varesine Blue,"['EP003', 'IL002', 'CV005', 'LT006', 'IT011', 'CV007', 'IL005', 'DA002', 'IT010', 'IT004', 'CV004', 'RF003', 'IL001', 'LT003', 'DA003']"
Range Rover,P550e PHEV LWB,SV,2021,255306,Espresso,Lantau Bronze,"['RF003', 'IT008', 'DA008', 'IL002', 'CV003', 'WS002', 'IT004', 'WS018', 'AS008', 'WS013', 'SF013', 'IL005', 'IL010']"
Discovery Sport,P290,SE,2020.5,34129,Perlino,Aruba,"['SF010', 'EP001', 'CV002', 'CV007', 'SF011', 'SF018', 'SF008', 'IT009', 'SF003', 'IT004', 'IT010']"
Range Rover,P615 SV,SE,2024.5,210422,Copper,Indus Silver,"['CV010', 'SF009', 'CV001', 'IT001', 'SF008', 'SF002', 'WS001', 'DA005', 'SF003', 'CL001', 'IT009', 'SF010']"
Defender,P400 130,Octa,2023.5,193546,Glacier White,Varesine Blue,"['LT007', 'DA011', 'SF015', 'RF003', 'LT001', 'CS008', 'DA017', 'LT016', 'DA002', 'EP014', 'LT017', 'SF011', 'DA004']"
Range Rover Sport,P440,Autobiography,2024,186370,Caraway,Champagne Gold,"['IT018', 'AS008', 'EP005', 'LT011', 'IT012', 'WS002', 'IL010', 'IL002', 'IT008', 'WS013', 'WS017', 'CP001', 'SF001', 'AS003', 'EP007', 'CS009']"
Range Rover Sport,P530,Dynamic SE,2020,88600,Caraway,Rossello Red,"['CV011', 'SF020', 'SF007', 'CL009', 'CL001', 'IT001', 'CL010', 'SF014']"
Range Rover Sport,P635 SVR,Dynamic SE,2025,264933,Espresso,Ostuni Pearl White,"['SF020', 'SF008', 'IT010', 'IT004', 'IT009', 'SF009', 'SF011', 'CV002', 'CL009', 'SF018', 'SF022']"
F-Pace,D240,R-Dynamic S,2024.5,79020,Copper,Balmoral Blue,"['CS013', 'IT014', 'WS019', 'WS012', 'SS008', 'CL013', 'WS015', 'DA005', 'SF020', 'IT013', 'CP006', 'EP007', 'CL014', 'LT011', 'DA015', 'SF003', 'SF023']"
Range Rover Sport,P530,Dynamic SE,2021.5,98480,Nimbus,Eiger Grey,"['SF020', 'SF022', 'EP001', 'SF018', 'SF003', 'IT001', 'SF009', 'CL008', 'IT009', 'IT010', 'CL010']"
F-Pace,P300,R-Dynamic SE,2021.5,53230,Navy,Varesine Blue,"['CL002', 'CV004', 'CV010', 'EP001', 'CV011', 'IT009', 'SF014', 'CV002']"
Range Rover Sport,P510,Dynamic S,2021.5,111137,Glacier White,Lantau Bronze,"['WS012', 'AS005', 'EP010', 'CV001', 'SS014', 'SS015', 'DA006', 'CL001', 'LT011', 'SS003', 'SF002', 'IL009', 'DA010', 'SS008', 'AS008', 'IT015', 'WS016']"
Range Rover Sport,P400,Autobiography,2022,142440,Glacier White,Pangea Green,"['CL004', 'IT010', 'IT012', 'EP010', 'IL003', 'WS009', 'LT007', 'RF002', 'CL018', 'CV017', 'SF016', 'CS007']"
Range Rover,P615 SV,Autobiography,2023,305502,Copper,Sunset Gold Satin,"['IT012', 'CV005', 'WS013', 'RF002', 'CP007', 'DA002', 'IT020', 'CL014', 'CP009', 'CL011', 'DA015']"
Range Rover,P530 SWB,Autobiography,2023,195950,Perlino,Balmoral Blue,"['DA011', 'IL001', 'DA008', 'IT008', 'CS015', 'WS004', 'IT020', 'CV007', 'CV002', 'IT021', 'CV015', 'IL010', 'SS015', 'DA002']"
Range Rover,P550e PHEV LWB,HSE,2022,177175,Copper,Carpathian Grey,"['SF008', 'DA005', 'IT002', 'CL003', 'IT004', 'IL005', 'IL002', 'RF002', 'CL010', 'CV007', 'CV010', 'CL011', 'DA001', 'IT001', 'SF011']"
Range Rover Evoque,P300,Dynamic SE,2023.5,42410,Brogue,Sunset Gold Satin,"['SF014', 'SF001', 'SF020', 'SF009', 'SF018', 'IT001', 'CV010', 'CV002', 'SF002', 'SF007', 'SF004']"
Range Rover Sport,D300,Dynamic HSE,2021,113754,Reims Blue,Aruba,"['RF003', 'IL001', 'SF004', 'CL011', 'IT002', 'DA007', 'IT005', 'CL010', 'CL009', 'LT006', 'CV006', 'LT003', 'CL003']"
Range Rover Sport,P460e PHEV,SVR,2022,192640,Vintage Tan,Byron Blue,"['DA008', 'LT020', 'CP006', 'CS009', 'RF004', 'WS013', 'CV014', 'SS005', 'CV006', 'IT015', 'SF006', 'DA010']"
Range Rover Sport,D300,SVR,2022.5,182936,Navy,Ostuni Pearl White,"['CP001', 'IT003', 'LT011', 'CL013', 'IL009', 'DA012', 'DA011', 'SS014', 'LT019', 'DA018', 'CL007', 'IL002', 'WS014']"
Range Rover Evoque,D200,Autobiography,2023,69024,Siena Tan,Ostuni Pearl White,"['SF020', 'IT020', 'CV004', 'CS005', 'LT003', 'IL006', 'AS002', 'CS010', 'AS008', 'SS015', 'EP014', 'CL008']"
Range Rover Sport,P550e PHEV,Autobiography,2024.5,206787,Reims Blue,Pangea Green,"['RF004', 'DA012', 'AS005', 'WS018', 'IT020', 'CV011', 'WS009', 'IT022', 'AS010', 'CP007', 'CP004', 'IL009', 'EP007']"
Range Rover Evoque,P200,Autobiography,2021.5,69390,Perlino,Bright White,"['IT020', 'IT017', 'CS008', 'WS004', 'CV005', 'LT002', 'LT009', 'DA017', 'LT015', 'CP002', 'AS007', 'IL005', 'IL001', 'SS002', 'IL006']"
Defender,P635 Octa,Octa,2023,303343,Dove,Balmoral Blue,"['IT012', 'CL004', 'EP003', 'AS009', 'WS019', 'LT011', 'SS002', 'RF004', 'SS001', 'EP015', 'CP010', 'IL011']"
Range Rover Evoque,D180,Autobiography,2023.5,69892,Acorn,Causeway Grey,"['WS009', 'AS010', 'LT007', 'AS006', 'SS005', 'DA013', 'WS012', 'LT003', 'CL016', 'WS013', 'CS009', 'CS008']"
Range Rover Evoque,D180,Dynamic SE,2020.5,35064,Espresso,Silicon Silver,"['SF002', 'SF006', 'WS001', 'DA002', 'CV002', 'CL008', 'SF008', 'CV007', 'EP001', 'IT009', 'LT001']"
Range Rover,P530 LWB,SV,2023.5,294318,Perlino,Kaikoura Stone,"['IT002', 'IT012', 'WS019', 'CP005', 'SS005', 'CV018', 'AS009', 'WS004', 'CP008', 'EP013', 'SS004', 'IL005', 'DA015', 'LT003', 'CP007']"
Range Rover Sport,P400,Dynamic S,2021.5,104342,Ivory,Varesine Blue,"['SF019', 'RF002', 'SS012', 'IL009', 'IT008', 'IL006', 'DA008', 'AS010', 'LT012', 'LT002', 'IT011', 'LT016', 'LT015', 'CL020', 'CS014', 'WS003', 'CP001', 'IT020']"
Discovery Sport,D180,SE,2020.5,30634,Caraway,Pangea Green,"['SF010', 'SF009', 'SF014', 'LT006', 'SF008', 'SF003', 'DA005', 'SF006', 'SF022']"
Discovery,P300,HSE,2025,93360,Ebony,Kaikoura Stone,"['RF002', 'SF008', 'IL002', 'CL002', 'WS001', 'DA002', 'SF005', 'CL012', 'LT002', 'SF018']"
Range Rover Evoque,P200,Dynamic HSE,2025,68406,Flame Red,Carpathian Grey,"['IT005', 'RF003', 'SF004', 'LT002', 'SF012', 'WS009', 'CV006', 'SF007', 'CL012', 'CV005', 'SF001', 'CL002', 'WS002']"
Range Rover Evoque,P200,Dynamic SE,2024.5,42490,Nimbus,Eiger Grey,"['CV010', 'CL001', 'DA001', 'SF018', 'SF011', 'SF010', 'SF020', 'WS001', 'CV001', 'LT006', 'IT009']"
Discovery,D250,HSE Luxury,2022,94466,Espresso,Firenze Red,"['CL012', 'CL001', 'CV006', 'LT003', 'IL002', 'DA001', 'IT011', 'RF003', 'EP003', 'IT005', 'DA005', 'CV004']"
Range Rover Sport,P530,Dynamic HSE,2021,120890,Ivory,Narvik Black,"['CV001', 'CV007', 'CV002', 'SF017', 'CL009', 'SF004', 'IL002', 'IT004', 'LT003', 'EP002', 'CV009']"
Defender,D300 110,X-Dynamic,2024,84680,Flame Red,Rossello Red,"['CL020', 'SS008', 'WS012', 'CS012', 'IT019', 'CL006', 'SF004', 'IT020', 'RF002', 'CL005', 'WS004', 'DA006', 'IT013']"
Discovery Sport,D200,SE,2023,42438,Moonbeam,Fuji White,"['SF005', 'IT001', 'IT004', 'DA002', 'LT006', 'EP001', 'IT010', 'SF008', 'CV010', 'DA001', 'SF007']"
Range Rover Sport,P510,Dynamic SE,2021,90434,Siena Tan,Gondwana Stone,"['EP002', 'SF022', 'WS001', 'IT009', 'SF002', 'IT001', 'CV001', 'SF005']"
Range Rover Sport,P530,Dynamic HSE,2023,150300,Reims Blue,Pangea Green,"['RF002', 'DA003', 'EP002', 'CL012', 'IL005', 'CV006', 'IT011', 'CL009', 'CV010', 'CV005', 'SF009', 'IL002', 'LT002', 'WS002', 'DA006']"
Discovery Sport,P290,HSE Luxury,2020,59935,Flame Red,Lantau Bronze,"['EP001', 'WS009', 'CV006', 'CL012', 'WS003', 'IL002', 'RF002', 'CL002', 'IT003', 'SF003', 'DA001', 'EP003', 'CL011']"
F-Pace,P400,R-Dynamic SE,2025,68022,Acorn,Silicon Silver,"['SF003', 'SF018', 'SF004', 'IT001', 'SF010', 'CV002', 'IT009', 'CL002', 'WS001', 'SF022', 'SF011']"
Range Rover,D300 LWB,SE,2022,110935,Cirrus,Byron Blue,"['SF008', 'SF009', 'SF014', 'SF011', 'SF002', 'SF005', 'SF018', 'CL009', 'CL008', 'CV011']"
F-Pace,D240,SVR,2024,115005,Cloud,Varesine Blue,"['CV015', 'CP006', 'DA005', 'RF005', 'CL002', 'CS011', 'WS005', 'DA004', 'RF002', 'DA003', 'LT011', 'IT016', 'SF001', 'AS007']"
F-Pace,P250,R-Dynamic SE,2022,52038,Dove,Causeway Grey,"['CL008', 'IT001', 'SF001', 'SF003', 'SF020', 'LT006', 'SF004', 'SF005', 'IT009', 'IT002']"
Range Rover Sport,D300,Autobiography,2023,157065,Cirrus,Bright White,"['IT012', 'LT020', 'SF017', 'DA018', 'EP011', 'CP003', 'WS009', 'IL001', 'DA017', 'DA016', 'IT011', 'LT007', 'EP010', 'WS012', 'IL006']"
Discovery Sport,P200,HSE,2023.5,55636,Dove,Causeway Grey,"['DA002', 'RF003', 'CV010', 'CL010', 'CL008', 'SF002', 'LT007', 'LT006', 'SF011', 'IT002', 'CL003', 'WS002', 'IT009']"
Range Rover Velar,D240,Dynamic SE,2021.5,59560,Caraway,Eiger Grey,"['SF006', 'WS001', 'LT001', 'SF014', 'SF001', 'IT002', 'CV001', 'SF007', 'DA005', 'CV010']"
Range Rover,D350 LWB,SE,2025,143372,Ivory,Balmoral Blue,"['SF003', 'DA005', 'SF022', 'SF010', 'DA001', 'SF014', 'SF018', 'CL001', 'SF005', 'EP001']"
Range Rover,P550e PHEV SWB,Autobiography,2024.5,230957,Eclipse,Silicon Silver,"['CL011', 'CS006', 'IT020', 'IT002', 'LT012', 'LT002', 'IT005', 'IT003', 'IL007', 'IT006', 'IL006', 'CL001', 'CP005']"
Range Rover,D300 LWB,Autobiography,2025,218560,Copper,Gondwana Stone,"['CL004', 'WS004', 'CS007', 'EP003', 'LT003', 'IL009', 'IL001', 'RF001', 'SF003', 'DA018', 'SS007', 'LT007', 'SS005']"
Defender,D300 130,HSE,2024.5,108593,Ebony,Cosmos Black,"['WS011', 'CV009', 'EP007', 'DA005', 'SF005', 'IT003', 'CV007', 'CV010', 'SF001', 'LT003', 'CL012', 'RF002', 'DA003', 'WS008', 'EP008']"
Range Rover Velar,P250,S,2023.5,53998,Navy,Bright White,"['SF002', 'CV001', 'SF008', 'IT010', 'IT001', 'SF004', 'CV002', 'SF009']"
Discovery,D250,SE,2025,69170,Espresso,Cosmos Black,"['SF003', 'IT001', 'SF001', 'SF009', 'SF018', 'CL009', 'WS001', 'CV002', 'DA001', 'LT001', 'SF004']"
Discovery,P300,HSE Luxury,2020.5,88810,Ebony,Byron Blue,"['CV002', 'DA002', 'LT003', 'DA007', 'CL003', 'CV005', 'DA006', 'RF003', 'IT004', 'IL002', 'EP003', 'IT005', 'DA001']"
F-Pace,D240,R-Dynamic HSE,2021.5,70510,Reims Blue,Silicon Silver,"['IL005', 'IL002', 'SF006', 'CL008', 'WS003', 'SF009', 'WS008', 'LT002', 'RF003']"
Discovery Sport,D200,SE,2020,30880,Nimbus,Balmoral Blue,"['SF001', 'CV011', 'IT010', 'SF007', 'CL001', 'CV002', 'SF018', 'SF020']"
Discovery,P300,HSE,2022,82810,Titan,Indus Silver,"['DA006', 'CL003', 'WS008', 'EP002', 'SF009', 'LT007', 'RF003', 'DA001', 'CL002', 'CL011', 'DA007', 'IL005', 'IT005', 'SF010']"
Range Rover Evoque,D200,Dynamic SE,2022.5,37498,Ivory,Rossello Red,"['SF009', 'LT006', 'SF007', 'SF003', 'IT010', 'IT009', 'DA005', 'SF010', 'SF001']"
Range Rover Velar,P250,Dynamic HSE,2022,80408,Ivory,Pangea Green,"['CL011', 'IT008', 'IL005', 'WS009', 'CV002', 'WS003', 'CL003', 'DA001', 'CV004', 'DA007', 'RF003']"
Defender,D300 110,S,2024.5,54378,Cloud,Eiger Grey,"['SF006', 'SF010', 'WS001', 'SF004', 'IT010', 'SF007', 'SF008', 'IT007']"
Discovery,D300,HSE,2022.5,85014,Flame Red,Aruba,"['WS009', 'RF002', 'SF019', 'DA001', 'IT002', 'CV004', 'SF009', 'DA002', 'SF001', 'DA006', 'DA005', 'CV006', 'SF015', 'DA007']"
Discovery,D250,HSE,2022,75092,Perlino,Ostuni Pearl White,"['SF010', 'CV010', 'SF008', 'SF019', 'CL001', 'RF002', 'CV004', 'IT005', 'WS002', 'CV001', 'EP002', 'CV006']"
Range Rover,P550e PHEV SWB,Autobiography,2023.5,219875,Eclipse,Sunset Gold Satin,"['IL007', 'RF002', 'DA017', 'CL014', 'SS005', 'LT011', 'CS015', 'AS009', 'IL006', 'CP008', 'IT006', 'AS010', 'DA001', 'RF005', 'IL011', 'CV004']"
Defender,P300 90,SE,2021,49082,Espresso,Causeway Grey,"['SF005', 'SF006', 'CV002', 'EP002', 'LT001', 'CL009', 'CV010', 'SF003', 'SF010', 'CL008']"
Discovery Sport,D180,HSE Luxury,2024.5,70410,Cirrus,Seoul Pearl Silver,"['SF004', 'CV006', 'IL002', 'CL002', 'IL001', 'IL005', 'CV007', 'EP001', 'WS003', 'WS009', 'IT009', 'IT004']"
Discovery Sport,P290,SE,2020.5,34729,Moonbeam,Sunset Gold Satin,"['DA002', 'IT001', 'WS001', 'IT009', 'CL001', 'EP001', 'SF022', 'DA001', 'SF002', 'CV001']"
Range Rover Evoque,P250,Dynamic HSE,2025,64898,Navy,Rossello Red,"['CV009', 'LT003', 'WS008', 'DA002', 'LT007', 'IL001', 'RF002', 'SF010', 'IT002']"
Range Rover,D300 LWB,SE,2024,127578,Cirrus,Pangea Green,"['LT006', 'WS001', 'SF004', 'SF010', 'SF002', 'SF006', 'SF001', 'LT001', 'SF014', 'IT010', 'SF008']"
Range Rover Sport,P530,Autobiography,2021.5,175270,Acorn,Fuji White,"['EP006', 'WS009', 'WS013', 'IL006', 'AS010', 'CL004', 'CV004', 'CP002', 'CL013', 'CL012', 'DA002', 'LT003', 'DA001', 'WS018', 'CS013', 'IT012']"
Range Rover Velar,D300,Dynamic SE,2020,55370,Reims Blue,Lantau Bronze,"['IT010', 'CV011', 'SF018', 'CV004', 'LT006', 'WS001', 'SF014', 'IT004', 'SF003']"
Discovery,D250,SE,2024.5,66728,Flame Red,Lantau Bronze,"['SF018', 'IT001', 'SF007', 'EP001', 'LT006', 'SF006', 'WS002', 'CL009', 'SF014', 'SF010', 'SF005']"
Range Rover Sport,P635 SVR,Autobiography,2024,374291,Flame Red,Pangea Green,"['SF015', 'AS004', 'SS015', 'LT001', 'CL017', 'CL013', 'WS005', 'CV003', 'IL001', 'CP004', 'EP013', 'EP014', 'DA006', 'CS001', 'SF007']"
F-Pace,D200,R-Dynamic SE,2024,56507,Eclipse,Narvik Black,"['SF004', 'SF009', 'CL001', 'EP001', 'DA001', 'CV001', 'SF006', 'LT006', 'SF022', 'SF020']"
Range Rover Velar,P400,S,2024,63618,Acorn,Ostuni Pearl White,"['IT010', 'SF007', 'CV011', 'DA001', 'SF010', 'LT005']"
Range Rover Sport,D300,SVR,2020.5,156024,Robusta,Balmoral Blue,"['DA016', 'AS008', 'CL010', 'WS004', 'EP004', 'AS007', 'CL003', 'AS003', 'IL007', 'CL009', 'SS003', 'EP010', 'CS002', 'IL005', 'WS017', 'SF003', 'LT005', 'EP003']"
Range Rover Sport,P635 SVR,SVR,2022.5,420917,Moonbeam,Portofino Blue,"['CV013', 'IT018', 'AS008', 'CL019', 'CV010', 'EP013', 'WS008', 'CP004', 'LT012', 'CP008', 'CL016', 'IL009', 'DA004', 'EP007', 'AS009', 'WS013', 'WS015']"
Range Rover Evoque,P300,Autobiography,2021,82500,Vintage Tan,Narvik Black,"['WS004', 'EP014', 'WS016', 'AS009', 'DA012', 'CP002', 'LT003', 'DA019', 'WS014', 'LT010', 'IL006', 'CV014', 'WS009', 'DA003', 'CS005', 'EP013', 'DA018']"
Defender,P400 90,SE,2024.5,61697,Espresso,Corris Grey,"['CV002', 'WS011', 'IT010', 'SF007', 'SF018', 'WS010', 'SF002', 'SF010', 'LT006', 'CV001', 'SF003', 'SF022']"
Range Rover,P550e PHEV LWB,SE,2023.5,150368,Brogue,Balmoral Blue,"['SF009', 'SF008', 'CV001', 'SF001', 'CL001', 'EP002', 'WS001', 'SF018', 'SF002', 'SF010']"
Defender,D300 90,SE,2022.5,55735,Titan,Spectral British Racing Green,"['CL008', 'SF008', 'CV001', 'SF006', 'EP001', 'SF018', 'SF001', 'IT009', 'EP002', 'CL010', 'LT001', 'SF002']"
Range Rover Evoque,P250,Dynamic HSE,2020.5,56718,Nimbus,Santorini Black,"['DA006', 'LT006', 'WS008', 'RF003', 'CV004', 'SF022', 'IL002', 'WS002', 'DA005', 'LT002', 'CL011', 'SF009', 'CL009', 'DA002']"
Discovery,D250,S,2022,48532,Eclipse,Bright White,"['IT001', 'WS001', 'CV011', 'SF009', 'CL001']"
Discovery,P360,S,2022,51202,Eclipse,Gondwana Stone,"['SF009', 'SF008', 'WS001', 'SF006', 'DA001', 'CL008', 'SF005']"
Range Rover Sport,P550e PHEV,Dynamic S,2024,124975,Navy,Varesine Blue,"['DA007', 'LT006', 'SF012', 'EP008', 'AS005', 'CS010', 'EP005', 'SF007', 'CV014', 'AS009', 'WS009', 'DA015']"
Discovery,D250,S,2024,54978,Eclipse,Silicon Silver,"['WS001', 'IT010', 'IT001', 'SF003', 'SF006', 'SF004', 'SF005', 'CV001']"
Range Rover Sport,P460e PHEV,Dynamic S,2024.5,137800,Nimbus,Sedona Red,"['IT002', 'EP003', 'CS014', 'CV013', 'DA010', 'WS016', 'IL004', 'DA011', 'EP007', 'CP005', 'AS004', 'RF003', 'LT004', 'IL010', 'CV014', 'WS014', 'IL008', 'IL009']"
Discovery Sport,P290,SE,2023,43046,Ebony,Hakuba Silver,"['CL001', 'DA002', 'SF008', 'SF007', 'LT001', 'SF004', 'IT010', 'SF002', 'CV002', 'CL008', 'SF018', 'CV004']"
Range Rover Sport,P510,SVR,2021,177524,Eclipse,Fuji White,"['LT013', 'SS008', 'CS012', 'AS004', 'CV003', 'IT005', 'CL017', 'EP001', 'IT013', 'EP007', 'EP004', 'AS009', 'RF003', 'IL007']"
